sx,sy,sz,x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.88,-0.03,0.501,0.887669,-0.0771067,0.646883,4.16825e-05,-0.043795,-0.0585878,-0.0230076,0.14132,-0.291767,-1.1374,0.168593,4814.96
0.88,-0.03,0.501,0.887805,-0.0775308,0.646343,0.0136064,-0.0423696,-0.0539729,-0.0234162,0.142592,-0.290686,-1.15397,0.241091,4808.89
0.88,-0.03,0.501,0.88777,-0.0780903,0.645715,-0.00356088,-0.0558948,-0.0627799,-0.0233093,0.144271,-0.289429,-1.25672,0.108232,4819.22
0.88,-0.03,0.501,0.887957,-0.0786164,0.645136,0.0186619,-0.0525639,-0.0578077,-0.0238697,0.145849,-0.288272,-1.23184,0.282073,4813.76
0.88,-0.03,0.501,0.887872,-0.0791777,0.644634,-0.00864868,-0.0574722,-0.0513977,-0.0236163,0.147533,-0.287268,-1.28064,0.0696008,4809.07
0.88,-0.03,0.501,0.887913,-0.0797425,0.64405,0.00406703,-0.0564285,-0.0583972,-0.0237384,0.149228,-0.286099,-1.27665,0.184882,4817.77
0.88,-0.03,0.501,0.887883,-0.0802249,0.643508,-0.00302496,-0.0481887,-0.0541039,-0.0236476,0.150675,-0.285016,-1.23059,0.123298,4813.11
0.88,-0.03,0.501,0.888146,-0.0807276,0.64292,0.0263196,-0.0502185,-0.0587783,-0.024438,0.152183,-0.283839,-1.26014,0.337757,4819.3
0.88,-0.03,0.501,0.888173,-0.0812408,0.642366,0.00274509,-0.0512747,-0.055283,-0.0245204,0.153722,-0.282732,-1.2758,0.147322,4815.88
0.88,-0.03,0.501,0.888118,-0.0817866,0.641817,-0.00555569,-0.0545245,-0.0548304,-0.0243536,0.15536,-0.281635,-1.30705,0.111243,4816.83
0.88,-0.03,0.501,0.888002,-0.0824063,0.641263,-0.0116056,-0.061909,-0.0553425,-0.0240051,0.157219,-0.280527,-1.36603,0.0751523,4818.29
0.88,-0.03,0.501,0.888195,-0.0829408,0.640733,0.0192633,-0.0533991,-0.0530202,-0.0245835,0.158822,-0.279465,-1.31033,0.29821,4816.64
0.88,-0.03,0.501,0.888136,-0.0834716,0.640152,-0.00582365,-0.0530254,-0.0580578,-0.0244086,0.160415,-0.278303,-1.32387,0.0939882,4822.69
0.88,-0.03,0.501,0.888391,-0.0838921,0.639511,0.0254383,-0.042013,-0.0640006,-0.0251725,0.161676,-0.277022,-1.25429,0.338242,4828.48
0.88,-0.03,0.501,0.888492,-0.0844469,0.639005,0.0101408,-0.0554251,-0.0505907,-0.0254771,0.163341,-0.276009,-1.37127,0.205306,4815.39
0.88,-0.03,0.501,0.8884,-0.0850432,0.638498,-0.00917611,-0.0595703,-0.0505907,-0.0252015,0.16513,-0.274996,-1.39729,0.084364,4818.32
0.88,-0.03,0.501,0.888506,-0.0856044,0.638019,0.0105695,-0.0560682,-0.0478932,-0.0255189,0.166813,-0.274037,-1.37996,0.241447,4816.37
0.88,-0.03,0.501,0.888559,-0.0861363,0.637418,0.00521627,-0.0531356,-0.060005,-0.0256755,0.168409,-0.272836,-1.36902,0.186069,4829.36
0.88,-0.03,0.501,0.888675,-0.0867006,0.636883,0.0116652,-0.0563809,-0.0534608,-0.0260258,0.170102,-0.271766,-1.40674,0.238176,4821.86
0.88,-0.03,0.501,0.888631,-0.0872769,0.636395,-0.00447194,-0.057571,-0.0487507,-0.0258915,0.171831,-0.27079,-1.42325,0.119715,4819.05
0.88,-0.03,0.501,0.88892,-0.0878121,0.635698,0.0289694,-0.0534638,-0.0696575,-0.0267615,0.173436,-0.269395,-1.39714,0.370069,4841.13
0.88,-0.03,0.501,0.888973,-0.088354,0.635248,0.00524009,-0.0541397,-0.04491,-0.0269188,0.175062,-0.268496,-1.42343,0.176886,4814.3
0.88,-0.03,0.501,0.889147,-0.0888764,0.634622,0.0173935,-0.0521836,-0.0625774,-0.0274411,0.176629,-0.267244,-1.41236,0.28551,4836.4
0.88,-0.03,0.501,0.889096,-0.0895543,0.634132,-0.00512695,-0.0677259,-0.0489472,-0.0272872,0.178663,-0.266264,-1.53864,0.11816,4821.19
0.88,-0.03,0.501,0.889227,-0.0900746,0.633667,0.0130824,-0.0519804,-0.0463927,-0.02768,0.180224,-0.265335,-1.42438,0.267909,4821.39
0.88,-0.03,0.501,0.889488,-0.0906966,0.633063,0.0260873,-0.0621397,-0.0604218,-0.0284634,0.18209,-0.264125,-1.51633,0.34422,4836.5
0.88,-0.03,0.501,0.889602,-0.0912316,0.63256,0.0113734,-0.0534527,-0.0501917,-0.028805,0.183695,-0.263121,-1.46005,0.233072,4824.8
0.88,-0.03,0.501,0.889806,-0.0918691,0.63197,0.0203887,-0.0636887,-0.0590165,-0.0294172,0.185607,-0.261939,-1.54716,0.312312,4836.1
0.88,-0.03,0.501,0.889911,-0.0923767,0.631561,0.0105397,-0.0507105,-0.0408191,-0.0297337,0.18713,-0.261122,-1.46285,0.238705,4817.35
0.88,-0.03,0.501,0.890018,-0.0929462,0.630959,0.0108887,-0.0583145,-0.0616821,-0.0300527,0.188839,-0.259917,-1.53079,0.251158,4841.67
0.88,-0.03,0.501,0.890245,-0.093552,0.630309,0.0227051,-0.0605208,-0.0649414,-0.0307345,0.190656,-0.258617,-1.54949,0.336274,4842.32
0.88,-0.03,0.501,0.890469,-0.0940558,0.629773,0.0223716,-0.0503324,-0.0535025,-0.0314063,0.192168,-0.257546,-1.48979,0.327596,4831.32
0.88,-0.03,0.501,0.890411,-0.0947188,0.62941,-0.0057641,-0.0662313,-0.03624,-0.0312333,0.194156,-0.25682,-1.62611,0.133044,4817.2
0.88,-0.03,0.501,0.89072,-0.095199,0.628857,0.0308153,-0.0479729,-0.0552651,-0.0321586,0.195597,-0.255714,-1.48666,0.416768,4839.06
0.88,-0.03,0.501,0.890898,-0.0958159,0.628276,0.0178759,-0.0616321,-0.0580102,-0.0326954,0.197448,-0.254553,-1.60921,0.296152,4839.63
0.88,-0.03,0.501,0.891026,-0.0963989,0.627698,0.0127846,-0.0582432,-0.0578137,-0.0330793,0.199197,-0.253395,-1.58353,0.275626,4839.74
0.88,-0.03,0.501,0.891227,-0.0970202,0.627227,0.0200791,-0.0620631,-0.0470536,-0.0336823,0.20106,-0.252453,-1.62768,0.335004,4830.14
0.88,-0.03,0.501,0.891497,-0.0975059,0.626702,0.0268912,-0.0485304,-0.0523652,-0.0344898,0.202518,-0.251405,-1.53712,0.379422,4837.61
0.88,-0.03,0.501,0.891518,-0.0981199,0.626325,0.00214367,-0.0613366,-0.037687,-0.0345542,0.20436,-0.250651,-1.6544,0.203358,4823.21
0.88,-0.03,0.501,0.891936,-0.098648,0.625683,0.0417659,-0.0527537,-0.0641197,-0.0358084,0.205944,-0.249367,-1.58316,0.505369,4852.16
0.88,-0.03,0.501,0.892165,-0.0992773,0.62514,0.0229016,-0.0628714,-0.0543183,-0.0364961,0.207832,-0.248279,-1.67676,0.343337,4839.2
0.88,-0.03,0.501,0.892107,-0.0998438,0.624789,-0.00586533,-0.056593,-0.0350848,-0.03632,0.209531,-0.247577,-1.63987,0.16247,4822.49
0.88,-0.03,0.501,0.892386,-0.100387,0.624214,0.0279511,-0.0543004,-0.0573671,-0.0371593,0.211162,-0.246429,-1.63136,0.426456,4848.16
0.88,-0.03,0.501,0.892694,-0.101016,0.623576,0.0307736,-0.0627739,-0.0637743,-0.0380834,0.213047,-0.245152,-1.70207,0.419155,4851.79
0.88,-0.03,0.501,0.892886,-0.101562,0.623177,0.0190847,-0.054555,-0.0398128,-0.0386565,0.214685,-0.244355,-1.65563,0.341277,4827.9
0.88,-0.03,0.501,0.893063,-0.102082,0.622704,0.0177151,-0.0520191,-0.0473395,-0.0391885,0.216247,-0.243407,-1.65143,0.345272,4839.8
0.88,-0.03,0.501,0.893389,-0.102755,0.622111,0.0325898,-0.0672354,-0.0591714,-0.0401672,0.218266,-0.242223,-1.76695,0.453856,4851.23
0.88,-0.03,0.501,0.893533,-0.103327,0.621626,0.0143507,-0.0571237,-0.0485006,-0.0405981,0.219982,-0.241252,-1.69756,0.317825,4839.37
0.88,-0.03,0.501,0.89378,-0.103945,0.621038,0.0246701,-0.0617564,-0.0587367,-0.0413389,0.221836,-0.240076,-1.74586,0.409577,4852.06
0.88,-0.03,0.501,0.893935,-0.104435,0.62059,0.0155238,-0.0488631,-0.044773,-0.0418051,0.223304,-0.239179,-1.66684,0.340846,4837.23
0.88,-0.03,0.501,0.89414,-0.104984,0.620059,0.0204661,-0.0548498,-0.0529845,-0.0424197,0.224951,-0.238119,-1.72648,0.386388,4848.42
0.88,-0.03,0.501,0.894426,-0.105553,0.619551,0.0285406,-0.0568892,-0.0507693,-0.0432767,0.226659,-0.237102,-1.7463,0.442655,4845.72
0.88,-0.03,0.501,0.894624,-0.10617,0.619103,0.0198468,-0.061682,-0.0447373,-0.0438727,0.228511,-0.236207,-1.79043,0.379152,4840.94
0.88,-0.03,0.501,0.894915,-0.106807,0.618538,0.0290408,-0.0636031,-0.0564977,-0.0447448,0.230421,-0.235076,-1.80587,0.454708,4854.23
0.88,-0.03,0.501,0.895142,-0.107248,0.618057,0.0232971,-0.0451057,-0.049231,-0.0454273,0.231743,-0.234114,-1.68753,0.411306,4845.57
0.88,-0.03,0.501,0.89542,-0.107839,0.617547,0.0277665,-0.0591155,-0.0509599,-0.0462611,0.233518,-0.233094,-1.81136,0.452247,4849.55
0.88,-0.03,0.501,0.895623,-0.108394,0.617095,0.0202518,-0.0554147,-0.0451362,-0.0468693,0.235182,-0.23219,-1.78479,0.40047,4844.15
0.88,-0.03,0.501,0.895886,-0.10895,0.616489,0.0263076,-0.05551,-0.060529,-0.0476593,0.236849,-0.230978,-1.79295,0.452451,4860.96
0.88,-0.03,0.501,0.896233,-0.109461,0.615995,0.0346501,-0.0510909,-0.0493938,-0.0486998,0.238383,-0.22999,-1.77655,0.511549,4848.33
0.88,-0.03,0.501,0.896445,-0.109985,0.615444,0.021139,-0.0523719,-0.0550626,-0.0493346,0.239956,-0.228887,-1.79614,0.413865,4856.44
0.88,-0.03,0.501,0.896547,-0.11064,0.614979,0.0101765,-0.0654327,-0.0464046,-0.0496402,0.241921,-0.227958,-1.89995,0.35378,4848.02
0.88,-0.03,0.501,0.897007,-0.111211,0.614312,0.0459401,-0.0570679,-0.0666504,-0.0510197,0.243634,-0.226624,-1.8323,0.615641,4870.05
0.88,-0.03,0.501,0.897201,-0.111806,0.613894,0.0193943,-0.0593671,-0.041754,-0.0516021,0.245417,-0.225788,-1.87704,0.405976,4843.13
0.88,-0.03,0.501,0.897356,-0.112287,0.613443,0.0155178,-0.0480354,-0.0450648,-0.0520681,0.24686,-0.224886,-1.80276,0.406572,4850.88
0.88,-0.03,0.501,0.897756,-0.112876,0.61283,0.0399557,-0.0588982,-0.0612733,-0.053268,0.248628,-0.223659,-1.89273,0.583438,4867.31
0.88,-0.03,0.501,0.898052,-0.113424,0.612233,0.029547,-0.0547865,-0.059618,-0.0541552,0.250273,-0.222466,-1.86565,0.494824,4863.76
0.88,-0.03,0.501,0.898254,-0.113955,0.611759,0.0202279,-0.0529755,-0.0473573,-0.0547627,0.251864,-0.221518,-1.87102,0.445386,4852.81
0.88,-0.03,0.501,0.89868,-0.1145,0.611083,0.0425757,-0.0545014,-0.0675138,-0.0560412,0.253501,-0.220166,-1.88454,0.612548,4875.53
0.88,-0.03,0.501,0.899015,-0.114962,0.610556,0.0334294,-0.0461173,-0.0526153,-0.057045,0.254886,-0.219113,-1.84062,0.536911,4858.35
0.88,-0.03,0.501,0.899222,-0.115493,0.610035,0.0206507,-0.0530589,-0.0521091,-0.0576652,0.256479,-0.21807,-1.90484,0.461267,4861.19
0.88,-0.03,0.501,0.899598,-0.116117,0.609348,0.037556,-0.0623474,-0.0686333,-0.0587929,0.258351,-0.216696,-1.96656,0.593887,4878.58
0.88,-0.03,0.501,0.900015,-0.116651,0.608836,0.0416587,-0.0533827,-0.0511445,-0.0600439,0.259954,-0.215672,-1.91377,0.615961,4859.52
0.88,-0.03,0.501,0.900284,-0.117063,0.60837,0.0269269,-0.0411377,-0.0465475,-0.0608525,0.26119,-0.21474,-1.84612,0.516008,4858.34
0.88,-0.03,0.501,0.900587,-0.117656,0.607817,0.0302853,-0.0592458,-0.055277,-0.061762,0.262969,-0.213633,-1.98873,0.557165,4868.8
0.88,-0.03,0.501,0.900953,-0.118206,0.607182,0.0365437,-0.054948,-0.063423,-0.0628594,0.264619,-0.212363,-1.94941,0.602554,4876.12
0.88,-0.03,0.501,0.901304,-0.118663,0.606723,0.0350372,-0.0455873,-0.0458329,-0.0639115,0.265988,-0.211446,-1.90474,0.594866,4858.25
0.88,-0.03,0.501,0.901728,-0.119121,0.606126,0.0423792,-0.0457466,-0.0595882,-0.0651841,0.267362,-0.210253,-1.9164,0.652003,4875.45
0.88,-0.03,0.501,0.902083,-0.119657,0.605548,0.0354183,-0.053632,-0.0577601,-0.0662477,0.268972,-0.209097,-1.98131,0.604214,4872.4
0.88,-0.03,0.501,0.902335,-0.120184,0.604967,0.0252239,-0.0526458,-0.0581174,-0.0670052,0.270553,-0.207933,-1.97619,0.545379,4873.84
0.88,-0.03,0.501,0.902742,-0.12074,0.604326,0.0416382,-0.0568649,-0.065625,-0.068225,0.272219,-0.206651,-2.01292,0.673766,4882.27
0.88,-0.03,0.501,0.90334,-0.1212,0.60368,0.0597787,-0.0460086,-0.0645305,-0.0700201,0.273601,-0.20536,-1.94377,0.792852,4880.83
0.88,-0.03,0.501,0.903652,-0.121683,0.603151,0.0312083,-0.0482029,-0.052782,-0.0709573,0.275048,-0.204303,-1.98197,0.587494,4870.3
0.88,-0.03,0.501,0.903983,-0.122171,0.602495,0.0330304,-0.0487797,-0.0655964,-0.0719492,0.276513,-0.20299,-1.98662,0.630781,4885.68
0.88,-0.03,0.501,0.904347,-0.122716,0.602027,0.036377,-0.0544121,-0.0467321,-0.0730416,0.278147,-0.202054,-2.04274,0.661066,4866.16
0.88,-0.03,0.501,0.904715,-0.123111,0.60155,0.0367402,-0.0395433,-0.0476908,-0.0741448,0.279334,-0.201099,-1.94102,0.666465,4870.59
0.88,-0.03,0.501,0.90517,-0.123571,0.600975,0.0455054,-0.0459394,-0.057373,-0.0755113,0.280714,-0.199951,-2.00317,0.732738,4880.92
0.88,-0.03,0.501,0.905546,-0.124069,0.600348,0.0375202,-0.0497548,-0.062637,-0.076638,0.282208,-0.198697,-2.03053,0.676074,4885.38
0.88,-0.03,0.501,0.905921,-0.124527,0.599765,0.0374131,-0.0457049,-0.0582662,-0.0777615,0.28358,-0.19753,-2.00949,0.690158,4881.09
